1, "1995-11-27-09.14.26.000000", "OK", 1001, 2001, 1, 1234567890123, 5
2, "2003-02-24-10.15.26.001452", "OK", 1002, 2002, 2, 1234567890124, 10
3, "2023-08-04-10.00.00.000000", "OK", 1003, 2003, 3, 1234567890125, 15
4, "2023-08-04-10.00.00.000000", "OK", 1004, 2004, 4, 1234567890126, 20
5, "2023-08-04-10.00.00.000000", "OK", 1005, 2005, 5, 1234567890127, 25
6, "2023-08-04-11.00.00.000000", "KO", 1006, 2006, 6, 1234567890128, 30
7, "2023-08-04-12.00.00.000000", "KO", 1007, 2007, 7, 1234567890129, 35
8, "2023-08-04-13.00.00.000000", "KO", 1008, 2008, 8, 1234567890130, 40
9, "2023-08-04-14.00.00.000000", "KO", 1009, 2009, 9, 1234567890131, 45
10, "2023-08-04-15.00.00.000000", "KO", 1010, 2010, 10, 1234567890132, 50
